2025시즌 전체 180일 중 미완료 180일
=== 2025-07-30 완료 (128타자/53투수, player_code 없음 0명, round=kbo_r)
=== 2025-07-31 완료 (132타자/46투수, player_code 없음 0명, round=kbo_r)
=== 2025-08-01 완료 (122타자/42투수, player_code 없음 0명, round=kbo_r)
=== 2025-08-02 완료 (106타자/44투수, player_code 없음 0명, round=kbo_r)
=== 2025-08-03 완료 (98타자/35투수, player_code 없음 0명, round=kbo_r)
=== 2025-08-05 완료 (118타자/53투수, player_code 없음 0명, round=kbo_r)
=== 2025-08-06 완료 (128타자/57투수, player_code 없음 0명, round=kbo_r)
=== 2025-08-07 완료 (133타자/48투수, player_code 없음 0명, round=kbo_r)
=== 2025-08-08 완료 (117타자/40투수, player_code 없음 0명, round=kbo_r)
=== 2025-08-09 완료 (77타자/24투수, player_code 없음 0명, round=kbo_r)
=== 2025-08-10 완료 (127타자/50투수, player_code 없음 0명, round=kbo_r)
=== 2025-08-12 완료 (128타자/44투수, player_code 없음 0명, round=kbo_r)
=== 2025-08-13 완료 (50타자/18투수, player_code 없음 0명, round=kbo_r)
=== 2025-08-14 완료 (100타자/44투수, player_code 없음 0명, round=kbo_r)
=== 2025-08-15 완료 (123타자/53투수, player_code 없음 0명, round=kbo_r)
=== 2025-08-16 완료 (130타자/47투수, player_code 없음 0명, round=kbo_r)
=== 2025-08-17 완료 (133타자/51투수, player_code 없음 0명, round=kbo_r)
=== 2025-08-19 완료 (127타자/50투수, player_code 없음 0명, round=kbo_r)
=== 2025-08-20 완료 (120타자/45투수, player_code 없음 0명, round=kbo_r)
=== 2025-08-21 완료 (125타자/49투수, player_code 없음 0명, round=kbo_r)
=== 2025-08-22 완료 (134타자/46투수, player_code 없음 0명, round=kbo_r)
=== 2025-08-23 완료 (124타자/45투수, player_code 없음 0명, round=kbo_r)
=== 2025-08-24 완료 (124타자/46투수, player_code 없음 0명, round=kbo_r)
=== 2025-08-26 완료 (116타자/46투수, player_code 없음 0명, round=kbo_r)
=== 2025-08-27 완료 (131타자/50투수, player_code 없음 0명, round=kbo_r)
=== 2025-08-28 완료 (121타자/59투수, player_code 없음 0명, round=kbo_r)
=== 2025-08-29 완료 (125타자/45투수, player_code 없음 0명, round=kbo_r)
=== 2025-08-30 완료 (126타자/45투수, player_code 없음 0명, round=kbo_r)
=== 2025-08-31 완료 (126타자/55투수, player_code 없음 0명, round=kbo_r)
=== 2025-09-02 완료 (117타자/37투수, player_code 없음 0명, round=kbo_r)
=== 2025-09-03 완료 (111타자/47투수, player_code 없음 0명, round=kbo_r)
=== 2025-09-04 완료 (67타자/25투수, player_code 없음 0명, round=kbo_r)
=== 2025-09-05 완료 (88타자/38투수, player_code 없음 0명, round=kbo_r)
=== 2025-09-06 완료 (54타자/22투수, player_code 없음 0명, round=kbo_r)
=== 2025-09-07 완료 (77타자/32투수, player_code 없음 0명, round=kbo_r)
=== 2025-09-09 완료 (86타자/25투수, player_code 없음 0명, round=kbo_r)
=== 2025-09-10 완료 (111타자/39투수, player_code 없음 0명, round=kbo_r)
=== 2025-09-11 완료 (106타자/46투수, player_code 없음 0명, round=kbo_r)
=== 2025-09-12 완료 (27타자/10투수, player_code 없음 0명, round=kbo_r)
=== 2025-09-13 완료 (131타자/61투수, player_code 없음 0명, round=kbo_r)
=== 2025-09-14 완료 (107타자/40투수, player_code 없음 0명, round=kbo_r)
시간 예산 소진, 다음 실행에서 이어서 진행
이번 실행 후 남은 미완료: 36일
2025시즌 전체 180일 중 미완료 36일
=== 2025-09-15 완료 (26타자/13투수, player_code 없음 0명, round=kbo_r)
=== 2025-09-16 완료 (147타자/54투수, player_code 없음 0명, round=kbo_r)
=== 2025-09-17 완료 (80타자/29투수, player_code 없음 0명, round=kbo_r)
=== 2025-09-18 완료 (140타자/51투수, player_code 없음 0명, round=kbo_r)
=== 2025-09-19 완료 (34타자/13투수, player_code 없음 0명, round=kbo_r)
=== 2025-09-20 완료 (144타자/49투수, player_code 없음 0명, round=kbo_r)
=== 2025-09-21 완료 (80타자/37투수, player_code 없음 0명, round=kbo_r)
=== 2025-09-22 완료 (31타자/13투수, player_code 없음 0명, round=kbo_r)
=== 2025-09-23 완료 (115타자/38투수, player_code 없음 0명, round=kbo_r)
=== 2025-09-24 완료 (85타자/30투수, player_code 없음 0명, round=kbo_r)
=== 2025-09-25 완료 (113타자/38투수, player_code 없음 0명, round=kbo_r)
=== 2025-09-26 완료 (114타자/41투수, player_code 없음 0명, round=kbo_r)
=== 2025-09-27 완료 (87타자/34투수, player_code 없음 0명, round=kbo_r)
=== 2025-09-28 완료 (58타자/23투수, player_code 없음 0명, round=kbo_r)
=== 2025-09-29 완료 (78타자/31투수, player_code 없음 0명, round=kbo_r)
=== 2025-09-30 완료 (125타자/46투수, player_code 없음 0명, round=kbo_r)
=== 2025-10-01 완료 (81타자/36투수, player_code 없음 0명, round=kbo_r)
=== 2025-10-02 완료 (30타자/9투수, player_code 없음 0명, round=kbo_r)
=== 2025-10-03 완료 (29타자/11투수, player_code 없음 0명, round=kbo_r)
=== 2025-10-04 완료 (61타자/24투수, player_code 없음 0명, round=kbo_r)
=== 2025-10-06 완료 (23타자/9투수, player_code 없음 0명, round=kbo_ps_wd)
=== 2025-10-07 완료 (23타자/8투수, player_code 없음 0명, round=kbo_ps_wd)
=== 2025-10-09 완료 (23타자/13투수, player_code 없음 0명, round=kbo_ps_sp)
=== 2025-10-11 완료 (24타자/10투수, player_code 없음 0명, round=kbo_ps_sp)
=== 2025-10-13 완료 (23타자/10투수, player_code 없음 0명, round=kbo_ps_sp)
=== 2025-10-14 완료 (24타자/11투수, player_code 없음 0명, round=kbo_ps_sp)
=== 2025-10-18 완료 (24타자/12투수, player_code 없음 0명, round=kbo_ps_po)
=== 2025-10-19 완료 (25타자/11투수, player_code 없음 0명, round=kbo_ps_po)
=== 2025-10-21 완료 (25타자/6투수, player_code 없음 0명, round=kbo_ps_po)
=== 2025-10-22 완료 (25타자/11투수, player_code 없음 0명, round=kbo_ps_po)
=== 2025-10-24 완료 (29타자/10투수, player_code 없음 0명, round=kbo_ps_po)
=== 2025-10-26 완료 (22타자/13투수, player_code 없음 0명, round=kbo_ps_ks)
=== 2025-10-27 완료 (24타자/13투수, player_code 없음 0명, round=kbo_ps_ks)
=== 2025-10-29 완료 (24타자/11투수, player_code 없음 0명, round=kbo_ps_ks)
=== 2025-10-30 완료 (26타자/10투수, player_code 없음 0명, round=kbo_ps_ks)
=== 2025-10-31 완료 (22타자/10투수, player_code 없음 0명, round=kbo_ps_ks)
이번 실행 후 남은 미완료: 0일
